,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.01_00,,BTS00027675,Enhancement,GUI_Tools,Test Control Panel,Clear Console機能の追加,Addition of the Clear Console function,ViewメニューにConsole Windowに出力された内容をクリアする[Clear Console]を追加しました。,"[Clear Console], a function that clears the contents output to Console Window, has been added to the View menu.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027677,Enhancement,GUI_Tools,Test Control Panel,Function Keyダイアログ・ボックスの機能変更,Changes to the Function Key dialog box functions,"Function Keyダイアログ・ボックスを以下のように変更しました。

 (1)ダイアログ・ボックスをモードレスにしました。
 (2) [Refresh]ボタンを追加しました。","Some of the Function Key dialog box functions have been changed as follows:

 (1) The dialog box has been changed to a mode-less type.
 (2) The [Refresh] button has been added.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027681,Enhancement,GUI_Tools,Test Control Panel,Data Logダイアログ・ボックスの[Pin Format]機能追加,Addition of the [Pin Format] function to the Data Log dialog box,Data Logダイアログ・ボックスにフェイルピンのみの表示が選択できる[Pin Format]メニューを追加しました。,The [Pin Format] menu which can be used to display failed pins only has been added to the Data Log dialog box.,,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027685,Enhancement,GUI_Tools,Test Control Panel,Helpメニューから起動できるダイアログ・ボックスの内容変更,Changes to the contents of dialog boxes that can be started from the Help menu,"以下のように、Helpメニューから起動できるダイアログ・ボックスの機能を変更しました。

 (1) Load Path Informationダイアログ・ボックスを削除しました。
 (2) Host Informationダイアログ・ボックスの不要な環境変数を削除しました。
 (3) About Test Control Panelダイアログ・ボックスのSystem ViersionおよびProfile情報はSystem Versionダイアログ・ボックスに移動しました。
 (4) About Test Control Panelダイアログ・ボックスのAdvantest Performance Licensing情報をLicense Informationダイアログ・ボックスに移動しました。","Functions of some dialog boxes that can be started from the Help menu have been changed as follows:

 (1) The Load Path Information dialog box has been deleted.
 (2) Unnecessary environment variables in the Host Information dialog box have been deleted.
 (3) System Version information and Profile information which were displayed in the About Test Control Panel dialog box are now displayed in the System Version dialog box.
 (4) Advantest Performance Licensing information which was displayed in the About Test Control Panel dialog box is now displayed in the License Information dialog box.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027745,Enhancement,GUI_Tools,Test Control Panel,テスト・プラン・プログラムが未ロードの状態でのダイアログ・ボックスの起動に対応,Enabled starting up dialog boxes even when a test plan program has not been loaded,"テスト・プラン・プログラムが未ロードの状態でも以下のダイアログ・ボックスが起動できるようになりました。

・Headerダイアログ・ボックス
・Data Logダイアログ・ボックス
・Execution Modeダイアログ・ボックス
・Overrideダイアログ・ボックス
・Function Keyダイアログ・ボックス
・LCD Test Conditionダイアログ・ボックス","The following dialog boxes can now be started even when a test plan program has not been loaded:

 - Header dialog box
 - Data Log dialog box
 - Execution Mode dialog box
 - Override dialog box
 - Function Key dialog box
 - LCD Test Condition dialog box",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027751,Enhancement,GUI_Tools,Test Control Panel,アラーム・メッセージを通知する方法の変更,Change of notification method of alarm messages,アラームが発生した際、個別のダイアログ・ボックスに表示していたメッセージを、1つのダイアログ・ボックスで表示するようにしました。,Messages that were displayed in individual dialog boxes when alarms were issued are now displayed in a single dialog box.,,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027673,Enhancement,GUI_Tools,Tools_in_General,Errorランプの消灯機能の追加,Addition of a function that turns off the Error lamp,"以下のツールの機能でTest Control PanelおよびConsole Windowのテスト実行ステータス表示部にあるErrorランプを消灯できるようになりました。

 (1) Test Control Panelの[Stop]ボタン
 (2) TDL Debugger Toolの[Stop]ボタン
 (3) TDL Debugger Toolの[Debug]ボタンまたは[Debug]→[Reload]の実行
 (4) TDLコマンドのtdl_stop","The Error lamp located in the test execution status indicator of Test Control Panel and Console Window can now be turned off by the following tool functions:

 (1) [Stop] button on Test Control Panel
 (2) [Stop] button of TDL Debugger Tool
 (3) [Debug] button or execution of [Debug] → [Reload] in TDL Debugger Tool
 (4) the TDL command tdl_stop",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027656,Enhancement,GUI_Tools,WaveTool,ピン・マルチプレクス・モードの合成波形を表示する機能の追加,Addition of function that displays combined waveforms in pin multiplex mode,ピン・マルチプレクス・モードの奇数ピンの波形と偶数ピンの波形を合成して表示するようしました。,Waveforms of odd-numbered and even-numbered pins in the pin multiplex mode are combined and displayed now.,,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,須藤
R1.01_00,#714,BTS00027598,Enhancement,TDL,TDL Interpreter,システム定義マクロにT6391のバージョン取得を追加対応,Additional support of T6391 version acquisition to system definition macros,"以下のシステム定義マクロを追加し、T6391のバージョンを取得できる機能を追加しました。

__TSS_REV_GET__
__TSS_REVISION__","A function has been added that can acquire a T6391 version by adding the following system definition macros.

__TSS_REV_GET__
__TSS_REVISION__",,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル 文法編,T6391 System Software TDL Reference Manual Syntax,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 諏方
R1.01_00,"2/23
BTS番号修正",BTS00027617,Enhancement,TDL,Testing Unit Class,Digital IOのアップグレード版のモジュールの対応,Support for the upgraded Digital IO module,Digital IOのアップグレード版のモジュールに対応しました。,The upgraded Digital IO module is now supported.,,,,,AT_T6KAQM_x64,T6391 システム・ソフトウェア ユーザーズ・マニュアル,T6391 System Software User's Manual,PLXM20-MD,UN_ASDSoft3.xls,ASD3 大泉
R1.01_00,"2/23
BTS番号修正",BTS00027663,Enhancement,TDL,Testing Unit Class,機能ライセンス　Advantest PerformAnce Licensing(aPAL)　の対応,"Support for function license, Advantest PerformAnce Licensing (aPAL)",機能ライセンス　Advantest PerformAnce Licensing(aPAL)　に対応しました。,"The function license, Advantest PerformAnce Licensing (aPAL) is now supported.",,,,,AT_T6KAQM_x64,T6391 システム・ソフトウェア ユーザーズ・マニュアル,T6391 System Software User's Manual,PLXM20-MD,UN_ASDSoft3.xls,ASD3 大泉
R1.01_00,,BTS00027628,Enhancement,TDL,Testing Unit Class,Testing Unit Class の実行時間の改善,Improvement of execution time in Testing Unit Class,"以下の処理を高速化しました

1. LCD_TIMINGクラスのsamp()データ・メンバでサンプリングのタイミングを設定した場合の、LCD_TIMING::Load()の実行時間
2. LCD_EVENTクラスのwavekind()データ・メンバで波形を設定した場合の、LCD_EVENT::Load()の実行時間
3. LCD_TEST_CONDITIONクラスのmdgt_perpin_mode()データ・メンバでOFFを指定した場合の、AQMDATA::sGet_Data() の実行時間
4. PGクラスのSTA(),SPA(),LSTA(),LSPA()の各データ・メンバを指定した場合の、以下のクラスの Load() メソッドの実行時間
　　・VECTORFILE
　　・VECTORFILEGRP
　　・VECREG","The following processes are sped up now:

1. Execution time of LCD_TIMING::Load() when the sampling timing is set using the samp() data member of the LCD_TIMING class
2. Execution time of LCD_EVENT::Load() when a waveform is set using the wavekind() data member of the LCD_EVENT class
3. Execution time of AQMDATA::sGet_Data() when OFF is specified using the mdgt_perpin_mode() data member of the LCD_TEST_CONDITION class
4. Execution time of the Load() method in the following classes when each data member, STA(), SPA(), LSTA(), and LSPA() of the PG class is specified:
　　- VECTORFILE
　　- VECTORFILEGRP
　　- VECREG",,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編,T6391 System Software TDL Reference Manual Testing Unit Class,PLXM20-MD,UN_ASDSoft3.xls,ASD3阪東
R1.01_00,2/10追加,BTS00027560,Enhancement,TDL,Testing Unit Class,ON_BRANCHクラスに指定できるイベント追加の対応,Addition of events that can be specified in the ON_BRANCH class,"ON_BRANCHクラスに指定できるイベントの種類に下記を追加しました。

 ・ON_WSTART
 ・ON_WEND
 ・ON_LSTART
 ・ON_LEND","The following types of events have been added to those which can be specified in the ON_BRANCH class:

 - ON_WSTART
 - ON_WEND
 - ON_LSTART
 - ON_LEND",,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編,T6391 System Software TDL Reference Manual Testing Unit Class,PLXM20-MD,UN_ASDSoft3.xls,ASD3清野
